file,keep,category,matched_class,foods,note
orig_20240115_032028.jpg,DROP,multi,none,"흑미밥, 김치, 닭가슴살(비닐)","밥·김치·닭가슴살 여러 접시, 단일 메인 아니고 닭가슴살 59 없음"
orig_20240115_060225.jpg,DROP,multi,none,"흰밥, 돼지고기 양파 계란볶음","밥과 볶음반찬 2접시 별도, 단일 메인 아님"
orig_20240115_114118 (1).jpg,DROP,borderline_dropped,none,"공기밥(흰쌀밥), 쌈장/양념 종지","흰밥 단독은 메인요리로 보기 애매, 드랍"
orig_20240115_114503.jpg,KEEP,single_in,fried-rice,"김치볶음밥, 계란후라이 2개","볶음밥 메인 1개 뚜렷, 계란후라이는 토핑"
orig_20240116_031721.jpg,DROP,multi,none,제육볶음(매운 돼지고기 볶음)+밥,"매운 고기볶음 한그릇과 밥 별도 두접시, 메인 볶음은 59클래스 미해당"
orig_20240117_065157.jpg,DROP,multi,none,두부부침+밥+나물+김치+볶음반찬,두부부침 중심에 밥과 여러 반찬이 펼쳐진 한상차림
orig_20240117_105254.jpg,DROP,multi,none,현무미밥+두부전(소스)+나물무침+김치,"밥과 여러 반찬이 용기에 담긴 한상, 단일 메인 없음"
orig_20240118_063911.jpg,DROP,scene_nonfood,none,브로콜리+냉동식품 포장지+잡곡밥,"식재료와 포장지가 보이는 준비/조리 장면, 완성요리 아님"
orig_20240118_071318.jpg,KEEP,single_in,seaweed-rice-roll,꼬마김밥(마키)+배추김치+무김치,"메인은 김밥 한접시 뚜렷, 김치는 곁들이 반찬"
orig_20240118_111544.jpg,DROP,multi,none,브로콜리+잡곡밥+소스+두부조림,"잡곡밥과 브로콜리·소스 등 반찬 위주, 단일 메인 없음"
orig_20240118_120914.jpg,DROP,scene_nonfood,none,어묵(오뎅) 튀김 진열대,"분식점 진열장 쇼케이스 장면(유리 너머 어묵 트레이), 차려진 단일 음식 아님"
orig_20240119_054157.jpg,DROP,multi,none,회·문어숙회·수육·쌈채소·밑반찬 한상,회/숙회/수육 등 서로 다른 메인 여러 접시 한상차림
orig_20240119_071543.jpg,DROP,multi,none,양념닭(고추장)·브로콜리·장조림류·잡곡밥·케첩,"도시락 통 여러 칸에 메인 여러 가지(밥+반찬 세트), 단일 메인 아님"
orig_20240120_114903.jpg,KEEP,single_in,pork-cutlet-dry,고로케형 돈가스(소스 없음)·양배추채·단무지·흰밥,"소스 없는 마른 돈가스(고로케형) 단일 메인 뚜렷, 곁들이만 부속"
orig_20240121_035830.jpg,DROP,ood,none,잡곡밥·포장 닭가슴살(소스팩),"잡곡밥+포장 닭가슴살 제품, 차려진 단일 메인 아니고 59클래스 미해당"
orig_20240122_072012.jpg,DROP,ood,none,제육볶음(팽이버섯·양파·파)·흰밥,"팬에 제육볶음(매운 고기볶음), 59클래스에 해당 항목 없음"
orig_20240123_071254.jpg,DROP,ood,none,"데친 닭가슴살, 잡곡밥, 브로콜리·양배추",닭가슴살 다이어트식 - 데친 닭가슴살은 59클래스에 없음(후라이드/양념치킨 아님)
orig_20240124_121626.jpg,DROP,ood,none,"흰밥, 데친 닭가슴살 큐브, 생 파프리카","닭가슴살+밥+파프리카 분리식단, 메인 닭가슴살이 59에 없음"
orig_20240125_010324.jpg,DROP,ood,none,"간장 계란조림, 잡곡밥, 브로콜리",메인이 간장 마리네이드 계란요리로 59클래스에 없음
orig_20240125_072641.jpg,DROP,ood,none,"제육볶음, 흰밥",빨간 고추장 제육볶음 한 팬 - 불고기(간장베이스)와 달라 59에 없음
orig_20240125_095805.jpg,DROP,ood,none,"데친 닭가슴살, 상추샐러드, 잡곡밥","닭가슴살 다이어트식, 메인 닭가슴살이 59에 없음"
orig_20240126_093502.jpg,DROP,ood,none,"데친 닭가슴살, 잡곡밥, 방울토마토, 김치","닭가슴살 다이어트식, 메인 닭가슴살이 59에 없음"
orig_20240127_115903.jpg,KEEP,single_in,grilled-pork-belly,"구운 돼지고기(삼겹살 한입크기), 김치, 콩밥","흰접시에 한입크기 구운 삼겹살이 단일 메인, 김치·밥은 곁들이"
orig_20240128_075504.jpg,DROP,borderline_dropped,none,"구운 연어, 브로콜리, 무침, 잡곡밥","연어는 상단 잘림+브로콜리접시·밥공기로 분산된 다이어트 한상, 단일메인 불명확"
orig_20240129_015917.jpg,DROP,multi,none,"구운 고기·팽이버섯, 잡곡밥 2공기, 김치",고기접시+밥공기 2개+김치로 구성된 한상차림
orig_20240129_125437.jpg,DROP,multi,none,"구운 고기·팽이버섯, 잡곡밥 2공기, 김치","고기접시+밥공기 2개+김치 한상차림, 단일메인 아님"
orig_20240129_125934.jpg,KEEP,single_in,nagasaki-champon,유부·버섯·어묵 든 얼큰크림 국물요리(나가사끼짬뽕풍),"유부·버섯·어묵 든 붉은크림 국물 단일 그릇, 나가사끼짬뽕에 부합"
orig_20240130_053943.jpg,DROP,ood,none,"잡곡밥, 브로콜리, 소고기장조림, 메추리알/계란조림","한접시에 밥+브로콜리+장조림+계란조림 혼합, 장조림은 59클래스에 없음"
orig_20240130_123916.jpg,DROP,multi,none,"컵우동(미개봉), 멸치/장아찌 반찬, 훈제 햄/목살 슬라이스, 브로콜리","여러 통에 우동컵·반찬·햄·브로콜리 따로 담긴 도시락, 단일 메인 없음"
orig_20240131_055706.jpg,DROP,multi,none,"흰쌀밥, 김치, 닭가슴살 패티","밥+닭가슴살+김치 분리 담은 식단 도시락, 59클래스 단일 메인 없음"
orig_20240131_123500.jpg,DROP,multi,none,"흑미밥, 삶은 닭가슴살, 양배추무침","잡곡밥+닭가슴살+양배추 다이어트 도시락, 59 단일 메인 아님"
orig_20240201_011142.jpg,DROP,ood,none,"김치볶음밥 위 계란지단(오므라이스풍), 양념장, 마요","계란 덮은 오므라이스풍 밥, 59클래스에 없음(OOD)"
orig_20240202_013559.jpg,DROP,multi,none,"삶은 닭가슴살, 브로콜리, 흰밥+현미밥","닭가슴살+브로콜리+밥 식단 플레이트, 단일 메인 없음"
orig_20240203_012952.jpg,KEEP,single_in,fried-rice,김치볶음밥,"스텐볼에 김치볶음밥 한 그릇 단일 메인, fried-rice 일치"
orig_20240203_030133.jpg,DROP,multi,none,"잡곡밥, 삶은 닭가슴살(찢은), 김치","밥+닭가슴살 두 메인 구성 다이어트 접시, 단일 59클래스 메인 아님"
orig_20240203_063724.jpg,DROP,multi,none,"흰쌀밥, 삶은 닭가슴살, 브로콜리","밥+닭가슴살+브로콜리 다이어트 식단, 단일 메인 아님"
orig_20240204_092128.jpg,DROP,multi,none,"현미밥, 구운 닭가슴살, 자른 당근","도시락 밀프렙(밥+닭+당근) 여러 구성, 단일 메인 아님"
orig_20240204_100847.jpg,DROP,multi,none,"흑미밥, 삶은 닭가슴살, 브로콜리","용기 3개 밀프렙 식단, 단일 59클래스 메인 아님"
orig_20240205_041613.jpg,DROP,scene_nonfood,none,"불판 위 굽는 고기, 공깃밥, 파무침, 밑반찬","식당 불판 조리중 한상 차림 씬, 단일 메인 판별 불가"
orig_20240205_123456.jpg,DROP,multi,none,"흑미밥, 삶은 닭가슴살, 브로콜리","밥+닭가슴살+브로콜리 밀프렙 식단, 단일 메인 아님"
orig_20240206_071314.jpg,DROP,ood,none,"현미밥, 닭가슴살 슬라이스, 데친 브로콜리","다이어트 도시락(밥+닭가슴살+브로콜리), 단일 메인 59클래스 매칭 없음"
orig_20240207_092406.jpg,DROP,ood,none,"현미밥, 닭가슴살, 데친 브로콜리","현미밥 접시+닭가슴살+브로콜리 반찬통, plain rice/닭가슴살 모두 59 미해당"
orig_20240207_115625.jpg,DROP,ood,none,"닭가슴살, 흰밥, 데친 양배추·청경채","닭가슴살+밥+데친 채소 구성, 단일 메인 59클래스 매칭 없음"
orig_20240209_122010 (1).jpg,DROP,ood,none,"현미밥, 닭가슴살 패티, 김치","현미밥+닭가슴살 패티(메인)+김치, 닭가슴살 패티 59 미해당"
orig_20240210_102248.jpg,DROP,ood,none,"흑미밥, 닭가슴살 슬라이스, 김치","흑미밥+닭가슴살 슬라이스+김치, 단일 메인 59클래스 매칭 없음"
orig_20240211_014835.jpg,KEEP,single_in,fried-rice,해물(오징어·새우)을 넣은 매운 볶음밥,"한 접시 단일 메인 매운 볶음밥, fried-rice 정확 매칭"
orig_20240211_111639.jpg,DROP,scene_nonfood,none,"시금치나물, 잡곡밥, 비닐에 싼 생고기(미조리)","시금치 반찬+잡곡밥+비닐 포장 생고기 — 조리된 단일 메인 없음, 밀프렙/미조리 장면"
orig_20240213_035332.jpg,DROP,ood,none,"닭가슴살 슬라이스, 브로콜리, 잡곡밥, 소스",닭가슴살 다이어트 플레이트 — 메인은 닭가슴살이나 59클래스에 없음(찜닭 아님)
orig_20240214_041809.jpg,DROP,ood,none,"닭가슴살 소시지/큐브 슬라이스, 브로콜리, 현미밥, 케찹소스",가공 닭가슴살 소시지 다이어트 플레이트 — 59 매칭 메인 아님
orig_20240214_073025.jpg,DROP,ood,none,"닭가슴살 소시지 슬라이스, 흰밥, 구운 양배추, 소스",가공 닭가슴살 소시지+밥 다이어트 플레이트 — 59 매칭 메인 아님
orig_20240214_081032.jpg,KEEP,single_in,sandwich,에그·치즈·베이컨 와플 샌드위치,"손에 든 단일 메인=샌드위치(에그치즈베이컨), 59 sandwich와 정확히 일치"
orig_20240215_072732.jpg,DROP,multi,none,"수육(보쌈), 김치, 잡곡밥",수육+김치+잡곡밥 보쌈 한상 — 서로 다른 메인 다접시 구성
orig_20240216_012951.jpg,KEEP,single_in,raw-fish,"흰살생선 회(광어/도미), 잡곡밥, 상추쌈채소","회 한 접시가 뚜렷한 단일 메인, 밥·쌈채소는 곁들이"
orig_20240217_124645.jpg,DROP,scene_nonfood,none,"샤브샤브용 생 소고기 말이, 상추, 밥",조리 전 생고기(전골 재료 세팅)라 완성 음식 아님
orig_20240218_062626.jpg,KEEP,single_in,braised-pork-hock,"편육/족발 슬라이스, 흰죽(미음)","족발 편육이 단일 메인, 죽은 주식 곁들이로 처리"
orig_20240220_013930.jpg,KEEP,single_in,grilled-fish,"생선구이, 멸치볶음, 시래기나물, 팥밥","생선구이가 단일 메인, 멸치·나물·밥은 반찬"
orig_20240220_121512.jpg,KEEP,single_in,korean-ramyeon-red,인스턴트 라면(계란 푼),"인스턴트 라면 단일, 곁들이 없음"
orig_20240222_070915.jpg,DROP,ood,none,"삶은 닭가슴살, 흰밥, 데친 브로콜리","삶은 닭가슴살 다이어트식, 59클래스에 없는 음식"
orig_20240223_041452.jpg,DROP,multi,none,"흰쌀밥, 닭가슴살(삶음), 브로콜리(빨간소스), 버섯볶음 약간","밥+닭가슴살+브로콜리 등 여러 구성의 다이어트 한 접시, 단일 메인 아님"
orig_20240224_071756.jpg,DROP,multi,none,"절임채소, 슬라이스 고기, 잡곡밥, 브로콜리","용기별로 밥·고기·브로콜리·반찬 분리된 밀프렙 한상, 단일 메인 아님"
orig_20240225_115925.jpg,DROP,multi,none,"김치, 잡곡밥, 닭/돼지고기 구이 슬라이스","밥+고기구이+김치 다이어트 한 접시, 메인 단일 불명확"
orig_20240226_045434.jpg,DROP,multi,none,"계란 올린 김치밥/볶음밥류, 곁들이 국 한 그릇","계란 얹은 비빔/볶음밥 본체+별도 국그릇, 메인 단일 아니고 형태 애매"
orig_20240227_075913.jpg,DROP,scene_nonfood,none,"기름밥 클로즈업, 가장자리 브로콜리·닭고기 약간","밥 위주 극단 클로즈업·흐릿, 메인 식별 불가"
orig_20240228_014622.jpg,DROP,multi,none,"브로콜리, 포장 닭가슴살, 잡곡밥","용기·포장 그대로의 밀프렙 재료 분리 배치, 단일 완성 메인 아님"
orig_20240301_115350.jpg,DROP,multi,none,"현미밥, 김치, 삶은 닭가슴살","밥+김치+닭가슴살 식단 구성, 단일 메인 플레이팅 아님"
orig_20240301_115847.jpg,KEEP,single_in,bulgogi,"불고기(양념 소고기볶음), 흰밥, 단무지","메인은 양념 소고기 불고기 한접시, 밥·단무지는 곁들이"
orig_20240302_113920.jpg,KEEP,single_in,grilled-fish,"고등어구이, 잡곡밥, 양배추","메인 생선구이 1접시, 밥·양배추는 사이드"
orig_20240303_022159.jpg,DROP,multi,none,"흰밥, 닭가슴살, 김치찌개(빨간 두부찌개)","빨간찌개+별도 닭가슴살 단백질, 메인 2개"
orig_20240303_074904.jpg,DROP,multi,none,"현미밥+닭가슴살 도시락, 김치찌개(빨간찌개)","밥+닭가슴살 도시락과 빨간찌개 별도, 메인 다수"
orig_20240304_040941.jpg,DROP,multi,none,"삶은 닭가슴살, 파프리카(빨강·노랑), 흰밥","닭가슴살+파프리카+밥 다이어트 구성, 단일 메인 없음"
orig_20240306_043139.jpg,DROP,multi,none,"낙지/오징어 회, 빨간 김치찌개류 찌개, 현미밥",회와 빨간 찌개 두 개의 서로 다른 메인이 함께 있어 multi
orig_20240307_081859.jpg,DROP,multi,none,"시금치나물, 흰쌀밥, 닭가슴살","닭가슴살+나물+밥 도시락 구성, 단일 메인 아니고 닭가슴살은 59클래스 미해당"
orig_20240308_081243.jpg,DROP,multi,none,"제육볶음, 계란찜, 빨간국, 밥, 김치, 쌈채소",제육+국+계란찜+밥 한상차림이라 multi
orig_20240309_115840.jpg,DROP,borderline_dropped,none,"닭가슴살, 브로콜리, 현미밥","닭가슴살+브로콜리+밥 다이어트 플레이트, 닭가슴살 59클래스 미해당"
orig_20240309_122224.jpg,KEEP,single_in,bulgogi,"돼지불고기(제육볶음), 깻잎(쌈), 현미밥","메인은 돼지불고기 한 접시, 깻잎·밥은 곁들이라 single_in"
orig_20240310_102813.jpg,KEEP,single_in,sandwich,써브웨이 샌드위치(서브),단일 샌드위치 한 개라 single_in
orig_20240310_103547.jpg,KEEP,single_in,sandwich,서브 샌드위치(오이·토마토·양상추),"손에 든 샌드위치 단일 메인, sandwich 클래스에 정확히 일치"
orig_20240311_044949.jpg,KEEP,single_in,rice-bowl,토마토 계란볶음 덮밥,밥 위에 토마토계란볶음 한 가지가 올라간 덮밥형 단일 메인
orig_20240312_031110.jpg,KEEP,single_in,rice-bowl,"고기(제육·불고기)덮밥, 김(가루)","밥 위 볶은 고기·양배추 올린 덮밥 단일 메인, 곁들이 김은 무시"
orig_20240312_070820.jpg,DROP,borderline_dropped,none,"후리카케 밥, 닭가슴살, 김치","밥+닭가슴살 두 구성요소, 닭가슴살은 59클래스 없음·단일 메인 불명확"
orig_20240312_070842.jpg,KEEP,single_in,fried-rice,닭고기·햄·계란 볶음밥,"통에 담긴 볶음밥 한 가지, fried-rice 단일 메인"
orig_20240312_102816.jpg,DROP,multi,none,"현미밥, 배추김치(볶음김치), 닭가슴살","현미밥·김치·닭가슴살 서로 다른 그릇 한상 구성, 단일 메인 없음"
orig_20240314_065256.jpg,DROP,ood,none,"밥, 양상추, 닭가슴살, 계란후라이, 나물, 김, 당근",밥에 닭가슴살·나물·계란 등 여러 토핑 얹은 다이어트 한그릇식. 비빔밥처럼 비벼 먹는 형태 아니고 단일 59클래스 메인 불명확.
orig_20240315_023551.jpg,DROP,multi,none,"현미밥, 닭가슴살, 브로콜리",현미밥·닭가슴살·브로콜리가 각각 구분된 다이어트 플레이트. 단일 메인 1개로 보기 어려움.
orig_20240315_044750.jpg,DROP,ood,none,"두부, 김치, 고기, 계란후라이",두부·김치볶음 위에 계란후라이 올린 형태. 59클래스 단일 메인에 맞지 않음.
orig_20240315_045210.jpg,KEEP,single_in,jjigae-red,빨간 국물찌개(두부·소고기·양파·대파),냄비에 두부·고기 들어간 빨간 국물찌개. 단일 메인=빨간찌개로 명확.
orig_20240316_080617.jpg,KEEP,single_in,fried-rice,"볶음밥, 계란후라이 2개",볶음밥 위에 계란후라이 얹은 한그릇. 단일 메인=볶음밥.
orig_20240316_102111.jpg,DROP,scene_nonfood,none,"불판 위 삼겹살, 김치, 콩나물, 양파, 부추",불판에서 삼겹살 굽는 조리 중 장면(곁들이 다수). 학습용 단일 접시 아님.
orig_20240317_020239.jpg,DROP,ood,none,"삶은 닭가슴살 슬라이스, 현미밥, 브로콜리, 케첩/소스","다이어트 한접시 - 삶은 닭가슴살+밥+채소, 59클래스 단일 메인 없음"
orig_20240317_054132.jpg,DROP,borderline_dropped,none,"닭가슴살, 현미밥, 삶은계란, 옥수수, 올리브, 방울토마토, 병아리콩, 양배추","밥+닭+샐러드 혼합 도시락볼, 단일 샐러드로 보기 애매"
orig_20240317_095503.jpg,DROP,multi,none,"잡곡밥, 계란찜, 김치/갓김치 반찬들","잡곡밥+계란찜+김치 여러 반찬, 가정식 한상"
orig_20240318_023354.jpg,DROP,ood,none,"로메스코/토마토소스 닭고기, 콜리플라워, 당근, 브로콜리","소스 닭+삶은채소 다이어트식, 59클래스 매칭 없음"
orig_20240318_123151.jpg,DROP,multi,none,"잡곡밥, 계란찜, 무생채/나물 반찬",잡곡밥+계란찜+나물 반찬 가정식 한상
orig_20240320_054928.jpg,DROP,borderline_dropped,none,"백미밥, 열무/파김치, 흑임자 떡(또는 찐 가래떡류)","밥+김치+흑임자떡, 단일 메인 불명확하고 떡류는 드랍"
orig_20240320_104845.jpg,DROP,scene_nonfood,none,"닭가슴살(또는 두부) 슬라이스, 흑미잡곡밥, 김치","다이어트 식단(단백질 슬라이스+잡곡밥+김치), 59클래스 메인 부재"
orig_20240321_024026.jpg,DROP,multi,none,"삶은 브로콜리, 현미밥, 삶은 닭가슴살","별도 그릇 다이어트 식단, 59클래스 단일 메인 없음"
orig_20240321_062519.jpg,DROP,multi,none,"고구마, 닭가슴살(스리라차), 삶은 양배추","고구마+닭가슴살+양배추 분리 다이어트 식단, 메인 없음"
orig_20240322_011006.jpg,DROP,multi,none,"현미밥, 김치, 삶은 수육(보쌈용 돼지고기)","밥+김치+수육 분리 한상, 수육은 삼겹살구이 아님"
orig_20240322_121459.jpg,DROP,multi,none,"구운 돼지/닭고기 슬라이스(소스), 카레라이스(터메릭밥), 모둠야채","양식 한접시에 고기+노란밥+야채 혼재, 단일 59클래스 메인 불명확"
orig_20240325_022334.jpg,DROP,scene_nonfood,none,"삶은 계란 4개, 흰쌀밥, 김치","계란+밥+김치 다이어트 식단, 59클래스 메인(계란 비해당) 없음"
orig_20240326_015803.jpg,KEEP,single_in,pasta,고기 올린 스파게티(파스타) 한 그릇,"메인 파스타 1개 뚜렷, 59클래스 pasta와 일치"
orig_20240327_062622.jpg,DROP,multi,none,"삶은 닭가슴살, 잡곡밥, 김치(별도 용기)","닭가슴살+밥 별도 접시 다이어트 한상, 메인 닭가슴살은 59에 없음"
orig_20240327_073045.jpg,DROP,ood,none,"삶은 닭가슴살, 밥, 김치 한 접시",다이어트식 닭가슴살이 메인이나 59클래스에 해당 음식 없음
orig_20240328_034737.jpg,DROP,multi,none,"초밥 여러 모둠 트레이, 김밥 한 줄","초밥 트레이 여러 개+김밥, 메인 접시 다수라 단일 아님"
orig_20240328_124850.jpg,DROP,ood,none,"삶은 닭가슴살, 밥, 김치 한 접시","다이어트식 닭가슴살이 메인, 59클래스에 없는 음식"
orig_20240329_071959.jpg,DROP,ood,none,"삶은 닭가슴살, 밥, 김치 한 접시","다이어트식 닭가슴살이 메인, 59클래스에 없는 음식"
orig_20240330_122809.jpg,DROP,multi,none,"김치, 밥, 포장된 닭가슴살/어묵","김치(반찬)+밥+포장식품 여러 구성, 단일 메인 없음 한상"
orig_20240331_061332.jpg,KEEP,single_in,salad,"닭가슴살 샐러드, 삶은계란, 잡곡밥","상추+닭가슴살+계란 위주의 샐러드 도시락, 메인 샐러드 단일"
orig_20240402_051139.jpg,DROP,ood,none,아몬드(견과류),"손바닥 위 아몬드, 음식이나 59클래스에 없음"
orig_20240403_010803.jpg,DROP,multi,none,"오이무침/김치, 밥, 닭가슴살, 삶은계란","반찬 여러 그릇+밥+닭가슴살 반찬, 단일 메인 없음 한상"
orig_20240403_015815.jpg,DROP,borderline_dropped,salad,"닭가슴살, 방울토마토, 상추샐러드, 잡곡밥","샐러드+닭가슴살+밥이 동급 구성, 메인 단일 불명확"
orig_20240404_023828.jpg,KEEP,single_in,mixed-rice-bowl,"비빔밥(밥, 계란지단, 김, 나물, 소스)",밥+지단+김+나물+초장 비빔밥 단일 메인
orig_20240404_074412.jpg,KEEP,single_in,salad,닭가슴살 샐러드(채소·견과·크랜베리·드레싱),"박스에 담긴 닭가슴살 샐러드 단일 메인, 곁들이 없이 샐러드 1개로 명확"
orig_20240404_121552.jpg,DROP,multi,none,김치·잡곡밥·방울토마토·햄·포장식품,"김치통·밥·토마토·햄 등 여러 반찬/식재가 펼쳐진 한상 구성, 단일 메인 아님"
orig_20240405_113232.jpg,KEEP,single_in,salad,닭가슴살 샐러드(채소·드레싱),박스에 담긴 닭가슴살 샐러드 단일 메인으로 명확
orig_20240406_092719.jpg,KEEP,single_in,salad,닭가슴살 샐러드볼(채소·옥수수·호박매시·토마토·할라피뇨·감자샐러드),"닭가슴살을 올린 샐러드볼 단일 그릇, 나머지는 토핑/곁들이로 샐러드 1개"
orig_20240407_065230.jpg,DROP,ood,none,아몬드(손 위),"손바닥의 아몬드 견과 간식, 59클래스에 없는 비식사 항목"
orig_20240407_121321.jpg,DROP,multi,none,김치·잡곡밥·포장식품,"김치통·밥·포장물 펼쳐진 한상 구성, 단일 플레이팅 메인 없음"
orig_20240408_013506.jpg,DROP,multi,none,"현미밥, 삶은 닭가슴살, 모둠 샐러드(오이·양파·상추·치즈)","닭가슴살+밥+샐러드 여러 요소 혼합 다이어트볼, 단일 메인 불분명"
orig_20240408_083834.jpg,DROP,ood,none,"삶은 계란, 찐 고구마","계란·고구마 다이어트 식단, 59클래스 음식 아님"
orig_20240409_125652.jpg,DROP,multi,none,"김치, 잡곡밥, 닭가슴살(봉지)","밀프렙 한상 차림, 단일 메인 없음"
orig_20240410_034131.jpg,DROP,multi,none,"닭가슴살 슬라이스, 밥, 코울슬로 샐러드","닭가슴살+밥+샐러드 다이어트 접시, 메인 다수"
orig_20240410_041624.jpg,KEEP,single_in,fried-rice,새우·닭가슴살 볶음밥(빨간소스),"한 접시 볶음밥 단일 메인, fried-rice 명확"
orig_20240410_121113.jpg,DROP,multi,none,"현미밥, 김치, 수육/닭가슴살 슬라이스(봉지)","밥·김치·고기 밀프렙 한상, 단일 메인 없음"
orig_20240411_035136.jpg,KEEP,single_in,salad,닭가슴살 샐러드(양배추·토마토·할라피뇨·올리브),"샐러드가 단일 메인, 토마토·올리브는 샐러드 재료 → salad"
orig_20240414_034352.jpg,DROP,scene_nonfood,none,아몬드(손에 쥔 견과),"손바닥 위 아몬드 몇 알, 요리 아님·59클래스 없음"
orig_20240414_072141.jpg,KEEP,single_in,salad,닭가슴살 샐러드+밥(테이크아웃 박스),"샐러드가 메인, 작은 밥은 곁들이 → salad 단일"
orig_20240414_074509.jpg,KEEP,single_in,fried-rice,닭가슴살·새우 볶음밥,채소·닭·새우 들어간 볶음밥 단일 메인
orig_20240414_100811.jpg,KEEP,single_in,salad,닭가슴살 샐러드+밥(테이크아웃 박스),"#3과 유사, 샐러드 메인+소량 밥 곁들이 → salad"
orig_20240414_122906.jpg,DROP,multi,none,잡곡밥·매운반찬·김치·미역국·닭가슴살(한상),밥접시+국그릇+닭가슴살 용기로 서로 다른 메인 다수 → 한상
orig_20240417_093629 (1).jpg,DROP,scene_nonfood,none,"투명 용기에 담긴 슬라이스한 닭가슴살/가공육 조각 (손에 든 채, 어둡고 흐림)","손에 든 용기·저조도·흐림, 플레이팅된 단일 메인 아님"
orig_20240418_014343.jpg,DROP,ood,none,삶은 닭가슴살 + 샐러드(상추·오이·치즈·햄·피클),"닭가슴살 다이어트 샐러드볼, 59클래스에 정확히 안 맞음"
orig_20240418_070309.jpg,DROP,ood,none,삶은 닭가슴살 + 밥 + 김치,"메인이 삶은 닭가슴살로 59 클래스 없음, 밥과 별도 김치"
orig_20240419_011518.jpg,DROP,ood,none,삶은 닭가슴살 + 샐러드(상추·오이·치즈·피클),"닭가슴살 샐러드볼, 닭가슴살은 59클래스 부재"
